iter	Passed	Remaining
661	997	509
662	997	507
663	1002	507
664	1003	505
665	1004	503
666	1004	501
667	1005	499
668	1008	498
669	1009	497
670	1010	495
671	1011	493
672	1012	491
673	1013	489
674	1016	489
675	1017	487
676	1018	486
677	1019	484
678	1020	482
679	1023	481
680	1025	480
681	1026	478
682	1026	476
683	1027	474
684	1028	472
685	1029	471
686	1030	469
687	1030	467
688	1031	465
689	1033	464
690	1035	463
691	1036	461
692	1037	459
693	1038	457
694	1038	455
695	1041	454
696	1042	453
697	1043	451
698	1044	449
699	1045	447
700	1045	446
701	1046	444
702	1049	443
703	1050	441
704	1051	439
705	1051	438
706	1052	436
707	1053	434
708	1054	432
709	1059	432
710	1060	430
711	1060	429
712	1061	427
713	1065	426
714	1066	424
715	1066	423
716	1067	421
717	1068	419
718	1069	417
719	1072	417
720	1074	415
721	1075	413
722	1076	412
723	1077	410
724	1081	410
725	1082	408
726	1083	406
727	1084	405
728	1084	403
729	1088	402
730	1088	400
731	1089	398
732	1090	397
733	1091	395
734	1092	393
735	1095	392
736	1096	391
737	1097	389
738	1098	387
739	1099	386
740	1099	384
741	1102	383
742	1103	381
743	1104	379
744	1104	378
745	1105	376
746	1106	374
747	1108	373
748	1110	372
749	1110	370
750	1111	368
751	1112	366
752	1113	365
753	1114	363
754	1115	361
755	1116	360
756	1117	358
757	1118	357
758	1122	356
759	1123	354
760	1124	353
761	1125	351
762	1126	349
763	1129	348
764	1130	347
765	1131	345
766	1132	344
767	1133	342
768	1136	341
769	1137	339
770	1139	338
771	1140	336
772	1140	335
773	1146	334
774	1146	332
775	1147	331
776	1149	329
777	1152	328
778	1153	327
779	1154	325
780	1155	323
781	1156	322
782	1158	321
783	1160	319
784	1161	318
785	1161	316
786	1162	314
787	1163	313
788	1164	311
789	1167	310
790	1168	308
791	1169	307
792	1170	305
793	1170	303
794	1171	302
795	1176	301
796	1177	299
797	1178	298
798	1179	296
799	1181	295
800	1182	293
801	1183	292
802	1184	290
803	1185	289
804	1186	287
805	1189	286
806	1190	284
807	1191	283
808	1193	281
809	1194	280
810	1196	278
811	1197	277
812	1198	275
813	1199	274
814	1200	272
815	1201	270
816	1206	270
817	1207	268
818	1208	267
819	1209	265
820	1212	264
821	1214	262
822	1215	261
823	1215	259
824	1216	258
825	1221	257
826	1223	255
827	1224	254
828	1225	252
829	1227	251
830	1228	249
831	1229	248
832	1230	246
833	1231	245
834	1232	243
835	1237	242
836	1238	241
837	1239	239
838	1240	238
839	1243	236
840	1244	235
841	1245	233
842	1246	232
843	1247	230
844	1251	229
845	1252	228
846	1254	226
847	1255	224
848	1257	223
849	1258	222
850	1260	220
851	1261	219
852	1262	217
853	1267	216
854	1268	215
855	1269	213
856	1270	211
857	1272	210
858	1274	209
859	1275	207
860	1276	206
861	1277	204
862	1280	203
863	1281	201
864	1282	200
865	1283	198
866	1284	197
867	1285	195
868	1288	194
869	1289	192
870	1290	191
871	1291	189
872	1292	187
873	1293	186
874	1294	184
875	1295	183
876	1296	181
877	1299	180
878	1300	179
879	1301	177
880	1302	175
881	1304	174
882	1307	173
883	1309	171
884	1310	170
885	1311	168
886	1316	167
887	1318	166
888	1319	164
889	1322	163
890	1325	162
891	1326	160
892	1330	159
893	1331	157
894	1332	156
895	1333	154
896	1335	153
897	1336	151
898	1337	150
899	1338	148
900	1339	147
901	1343	146
902	1345	144
903	1346	142
904	1347	141
905	1348	139
906	1353	138
907	1354	137
908	1355	135
909	1359	134
910	1360	132
911	1361	131
912	1362	129
913	1363	128
914	1366	126
915	1367	125
916	1369	123
917	1370	122
918	1373	121
919	1374	119
920	1376	118
921	1377	116
922	1378	114
923	1386	114
924	1390	112
925	1391	111
926	1392	109
927	1393	108
928	1396	106
929	1397	105
930	1398	103
931	1399	102
932	1400	100
933	1401	99
934	1404	97
935	1405	96
936	1406	94
937	1407	93
938	1408	91
939	1414	90
940	1415	88
941	1416	87
942	1417	85
943	1419	84
944	1420	82
945	1421	81
946	1422	79
947	1423	78
948	1425	76
949	1426	75
950	1427	73
951	1430	72
952	1432	70
953	1434	69
954	1435	67
955	1441	66
956	1442	64
957	1443	63
958	1445	61
959	1447	60
960	1448	58
961	1450	57
962	1451	55
963	1453	54
964	1455	52
965	1456	51
966	1457	49
967	1458	48
968	1461	46
969	1462	45
970	1463	43
971	1464	42
972	1465	40
973	1471	39
974	1472	37
975	1473	36
976	1475	34
977	1477	33
978	1478	31
979	1479	30
980	1481	28
981	1484	27
982	1486	25
983	1487	24
984	1488	22
985	1491	21
986	1493	19
987	1494	18
988	1495	16
989	1500	15
990	1502	13
991	1503	12
992	1506	10
993	1508	9
994	1510	7
995	1511	6
996	1514	4
997	1515	3
998	1516	1
999	1517	0
